ax,ay,az,gx,gy,gz,reading_index
-600,707,1795,-16,207,-23,0
-606,714,1789,-23,208,-22,1
-597,704,1797,-22,212,-20,2
-598,707,1778,-17,212,-25,3
-585,698,1791,-23,216,-22,4
-599,706,1786,-20,210,-20,5
-606,707,1799,-21,210,-19,6
-594,704,1788,-15,212,-21,7
-596,700,1797,-20,207,-22,8
-195,2084,-288,-47,246,93,9
-915,528,1766,60,191,32,10
-461,1820,-229,-2880,-441,166,11
-966,190,1746,-16,208,-13,12
-691,1831,41,1829,702,35,13
-1043,401,1954,-288,296,-129,14
-683,1958,210,-570,19,-28,15
-1045,352,1791,-186,252,-52,16
-722,1910,-74,-748,-152,200,17
-727,849,1706,1261,-158,251,18
-636,1394,1374,-1390,93,-192,19
-742,1060,1477,1429,170,526,20
-701,1262,1387,-1679,-155,-361,21
-887,907,1561,1276,-331,567,22
-837,737,1700,-2010,870,-665,23
-1298,334,1688,504,-73,325,24
-938,559,1791,-986,412,-373,25
-1232,-52,1641,627,101,283,26
-678,1495,1039,-1949,-385,-569,27
-997,716,1513,1913,109,946,28
-1276,644,1959,-977,1070,-948,29
-794,1511,946,1930,716,426,30
-1161,777,1628,-811,967,-816,31
-833,1785,341,1133,595,110,32
-1364,667,1674,-310,357,-355,33
-759,1908,-73,-1059,-329,-112,34
-929,911,1621,786,-46,420,35
-1216,616,1629,-260,888,-404,36
-949,1511,772,-1143,-372,-297,37
-899,981,1401,2739,1232,921,38
-1179,453,1797,296,49,276,39
-555,1715,523,-2465,-585,-119,40
-694,1725,754,1227,663,48,41
-600,670,1667,979,86,476,42
-1306,546,1903,491,-297,300,43
-990,485,1963,-1058,248,-525,44
-722,1338,1461,-1765,-676,-404,45
-1206,277,1770,2500,-392,1098,46
-723,916,1681,-1915,827,-903,47
-824,1653,709,1163,622,101,48
-1212,-159,1909,668,-252,186,49
-173,771,1711,-2607,-94,-540,50
-374,1461,1192,1962,687,69,51
-1097,-82,1845,-551,391,-247,52
-845,1659,692,-614,-171,-83,53
-1233,214,1868,1356,-102,648,54
-739,396,886,-3293,2594,-349,55
-908,1655,570,811,688,148,56
