ax,ay,az,gx,gy,gz,reading_index
-147,517,1942,-20,204,-26,0
-143,511,1943,-26,206,-23,1
-145,509,1958,-22,204,-27,2
-139,514,1963,-19,203,-24,3
-141,523,1956,-23,204,-23,4
-150,513,1961,-23,208,-23,5
-139,516,1955,-16,210,-24,6
-144,518,1964,-22,204,-23,7
-145,508,1949,-21,204,-26,8
-152,515,1952,-20,205,-22,9
-148,508,1952,-23,202,-25,10
-148,511,1951,-25,203,-22,11
-151,512,1942,-19,208,-23,12
-142,511,1949,-19,205,-24,13
-140,523,1963,-24,204,-25,14
-147,513,1951,-22,204,-23,15
-141,517,1961,-20,202,-23,16
-148,513,1957,-23,206,-25,17
-144,506,1957,-23,210,-25,18
-147,515,1952,-20,196,-25,19
-155,511,1948,-20,207,-28,20
-149,513,1955,-21,209,-24,21
-141,520,1949,-22,202,-24,22
-149,519,1950,-22,205,-25,23
-149,514,1958,-19,205,-24,24
-149,524,1967,-22,205,-22,25
-152,516,1943,-25,205,-25,26
-142,513,1939,-17,210,-25,27
-145,507,1945,-19,208,-25,28
-144,515,1947,-22,203,-24,29
-149,511,1952,-23,204,-25,30
-144,508,1964,-20,202,-23,31
-148,508,1955,-26,206,-23,32
-148,512,1950,-19,208,-27,33
-138,515,1960,-21,206,-26,34
-156,515,1961,-22,199,-24,35
-146,520,1946,-19,204,-23,36
-154,511,1958,-21,206,-27,37
-146,511,1959,-21,204,-26,38
-152,520,1955,-24,206,-25,39
-151,515,1950,-22,206,-23,40
-150,517,1956,-21,200,-25,41
-150,518,1943,-20,206,-21,42
-144,505,1957,-21,209,-21,43
-140,517,1955,-20,204,-25,44
-142,513,1947,-20,208,-25,45
-141,520,1940,-23,209,-27,46
-148,519,1964,-24,206,-24,47
-146,514,1955,-18,210,-24,48
-148,512,1955,-23,210,-27,49
-155,517,1942,-23,205,-23,50
-147,515,1934,-21,203,-23,51
-160,509,1947,-17,203,-26,52
-150,514,1936,-22,203,-27,53
-153,520,1954,-27,201,-22,54
-147,517,1953,-20,203,-23,55
-152,516,1946,-21,203,-24,56
-151,519,1955,-20,205,-21,57
-137,521,1935,-24,206,-25,58
-145,514,1946,-19,208,-22,59
