ax,ay,az,gx,gy,gz,reading_index
423,-1975,-84,-86,363,-19,0
651,-1689,-464,129,-95,-10,1
-283,-1813,-375,-1213,3990,88,2
716,-2060,-728,5054,-792,1721,3
1254,-1106,-1377,3941,290,890,4
356,-2195,-357,62,-1127,-1541,5
449,-1964,-508,-684,145,-205,6
605,-1946,-195,-537,124,-76,7
318,-431,-1436,-526,-1257,-21,8
236,-1968,145,-107,431,-73,9
392,-1967,-231,-587,199,-254,10
807,-1253,-2145,-1038,-3042,-680,11
917,-947,-1433,5173,61,1703,12
1498,-1786,-682,-1424,1265,37,13
694,-1493,-483,-1123,5372,877,14
505,-1914,-557,-742,489,-159,15
490,-2079,-98,-550,114,81,16
509,-1424,-605,-1058,1538,210,17
738,-695,-818,3522,126,955,18
799,-3443,-430,-2718,2874,-1181,19
431,-2029,702,-853,-268,-797,20
760,-1578,-894,1627,-4004,-1048,21
1318,-1484,-1323,-632,-416,-761,22
604,-2018,-335,-1031,171,-416,23
978,-1818,-198,-735,591,147,24
867,-1900,60,1834,673,1214,25
980,-2493,-1358,-1800,933,-754,26
367,-2031,9,-814,446,-370,27
409,-2085,-358,172,1185,-263,28
489,-1953,-196,-546,309,-180,29
-363,-2287,-436,-886,1224,-130,30
614,-1412,-573,-244,-190,371,31
1851,-1208,-269,75,1158,1852,32
716,-1867,-813,-992,1531,-472,33
957,-2029,-413,15,-2332,-418,34
893,-1673,-512,-692,825,-227,35
1168,-1204,-632,1585,362,631,36
616,-1913,332,-79,112,-60,37
1261,-1001,-884,68,-85,83,38
706,-1873,59,-180,341,-26,39
718,-1890,-12,-22,206,-24,40
1199,-1324,-867,-510,1,-168,41
1384,-782,-1402,-225,190,-116,42
1408,-276,-1674,-353,195,-216,43
830,-1933,-425,1255,601,516,44
502,-1962,327,-56,222,-28,45
584,-1924,98,-47,223,-16,46
917,-1840,-181,467,-131,110,47
421,-1910,175,-164,2169,594,48
1156,-2643,-247,-3335,3969,-409,49
1002,-1528,-713,-1385,6063,735,50
197,-1951,-59,-1022,1433,101,51
722,-976,-1893,2476,-2494,925,52
1863,-959,-1515,-62,-929,-277,53
698,-1961,-99,-41,547,-69,54
861,-1802,-295,-201,37,32,55
948,-1895,-512,-615,174,-601,56
693,-1874,33,44,153,29,57
63,-2123,278,110,-136,290,58
575,-1949,-180,-103,272,-70,59
