model,mean_acc,std_acc,macro_f1,latency_us,efficiency_score
LogisticRegression,0.80625,0.058593171293438474,0.8345521145521145,2.4302800496419272,65.40829065997718
GaussianNB,0.8354166666666668,0.05013003923131652,0.8423118279569892,2.848307291666667,61.99138984334844
SVM_linear,0.8302083333333334,0.054635391841430646,0.8423118279569892,3.673459092775981,53.843219479692095
SVM_rbf,0.828125,0.05119025989710674,0.8423118279569892,6.183634201685588,41.99831257606008
kNN,0.8375,0.056519416526043906,0.8613978494623655,33.38024020195007,23.675032217005278
RandomForest,0.8125,0.06588078458684124,0.8418298119790658,76.99176669120789,18.64985059263552
