ax,ay,az,gx,gy,gz,reading_index
642,-1874,-560,-1116,196,68,0
591,-1942,-189,9,-684,-2,1
599,-1924,-443,1912,696,168,2
717,-1994,-208,241,715,-293,3
556,-1930,-90,-96,396,61,4
803,-1860,-588,2152,334,339,5
599,-2083,-630,169,1430,-335,6
435,-2064,-407,-33,116,152,7
952,-1812,-388,-804,-410,-375,8
471,-1986,-379,89,137,-61,9
921,-1754,-204,1220,-1,247,10
633,-2095,72,-260,527,-292,11
410,-1949,-77,-135,331,59,12
913,-1806,-87,892,713,193,13
601,-1920,-109,-68,504,-320,14
589,-2200,-161,-7,-91,422,15
1009,-1746,48,-275,605,-218,16
609,-1934,-120,11,57,162,17
1019,-1764,-44,294,502,80,18
567,-1935,8,31,260,-47,19
682,-1894,55,-9,253,-26,20
698,-1892,97,-24,212,-10,21
701,-1888,52,-17,183,-15,22
672,-1907,22,-19,210,-22,23
674,-1903,25,-16,211,-24,24
701,-1892,42,-30,213,-17,25
698,-1894,35,-17,192,-16,26
654,-1915,-16,9,256,-40,27
753,-1876,23,-16,199,-9,28
727,-1885,-4,-52,188,-17,29
726,-1896,12,-7,201,-18,30
733,-1864,112,-159,-11,0,31
583,-1895,55,-105,408,-224,32
788,-1844,147,-17,248,-10,33
723,-1875,115,-1,188,9,34
714,-1889,112,-31,229,-10,35
719,-1885,53,-13,204,-18,36
740,-1887,46,-44,225,-31,37
848,-1832,45,-11,266,-76,38
1026,-1795,-172,-2,-402,124,39
820,-1654,-647,1727,501,523,40
884,-2031,-568,-2472,81,-453,41
553,-1986,-427,-166,480,-187,42
451,-1964,-416,-137,240,48,43
1407,-1879,-294,-199,-813,150,44
1032,-1423,-721,-809,-559,-325,45
809,-1921,-485,-159,549,-333,46
337,-1948,-51,-64,310,-7,47
793,-1660,-524,955,358,248,48
799,-1956,-705,-2907,-247,-292,49
464,-1951,-292,108,-39,-52,50
1077,-2204,-213,348,-331,291,51
1061,-1661,-612,-1428,-505,-347,52
493,-1940,-200,-101,604,-233,53
673,-1949,-123,44,-96,106,54
771,-1543,-610,178,500,45,55
596,-1921,-205,-129,854,-244,56
