ax,ay,az,gx,gy,gz,reading_index
-577,657,2312,776,-749,102,0
-449,904,2097,944,-954,448,1
-410,849,1675,1686,-729,295,2
-451,854,1793,630,-682,177,3
-842,843,2003,11,-600,150,4
-874,681,2297,366,-1282,155,5
-818,537,2574,522,-529,3,6
-338,545,2170,2032,-1489,218,7
-207,1041,1462,2166,-1180,-83,8
-141,1863,38,3002,1178,-196,9
-288,2176,-76,998,506,-138,10
-305,707,2301,1388,4,34,11
-239,1692,494,2397,730,82,12
-269,2058,264,-2726,-428,76,13
-262,626,1430,-3251,1980,-358,14
-1128,754,2152,911,-764,370,15
-203,1148,1283,2307,-696,135,16
-427,2105,106,201,336,11,17
-237,1569,893,-2945,-300,-67,18
-751,474,1958,-1282,2357,-332,19
-875,750,2360,271,-505,152,20
-460,747,1676,1373,-1202,419,21
-182,1189,1311,2776,-171,167,22
-312,1742,500,1511,397,366,23
-187,1841,651,-1686,-271,-424,24
-333,1346,904,-3525,-311,-760,25
-830,650,1884,-828,1895,-447,26
-917,982,1819,469,202,108,27
-178,1637,815,2347,365,343,28
-366,1906,165,1272,713,195,29
-487,1905,-414,-765,130,-205,30
-404,1794,296,-1822,-740,-225,31
-555,990,1559,-2897,192,-757,32
-1156,549,2309,500,444,-118,33
-938,478,1941,635,-312,207,34
-649,709,1765,1935,307,522,35
-361,1215,1384,2300,512,445,36
-399,1751,382,1581,276,281,37
-434,1578,995,-1922,-229,-499,38
-543,1260,1872,-1728,-251,-429,39
-601,397,1997,-2552,935,-921,40
-1016,760,1806,43,-85,280,41
-971,657,1981,-989,686,-503,42
-830,1345,1720,2000,1272,292,43
-553,1849,-20,505,597,62,44
-498,1246,1133,-2796,-345,-694,45
-713,774,2083,-519,434,-121,46
-581,993,1600,1972,632,486,47
-596,1513,934,1779,762,337,48
-539,1652,597,-907,-181,-161,49
-1057,591,1869,-1903,2247,-744,50
-953,603,1995,-253,249,-212,51
-1100,684,2213,936,-603,189,52
-401,1055,1645,2426,954,484,53
-329,1886,-88,120,33,-20,54
-345,1023,1317,-3131,-446,-631,55
-1304,605,2329,-332,300,-392,56
