ax,ay,az,gx,gy,gz,reading_index
-572,421,1874,-19,203,-23,0
-571,419,1882,-20,204,-20,1
-579,415,1877,-19,207,-22,2
-581,422,1881,-21,211,-22,3
-571,425,1877,-18,212,-21,4
-570,424,1885,-20,210,-21,5
-571,418,1877,-17,208,-20,6
-580,426,1874,-18,204,-20,7
-568,420,1874,-22,209,-22,8
-572,422,1874,-17,207,-25,9
-576,422,1883,-20,207,-20,10
-581,418,1881,-24,210,-21,11
-565,418,1880,-18,208,-25,12
-569,413,1882,-18,206,-28,13
-579,417,1887,-21,209,-22,14
-580,419,1881,-19,209,-21,15
-569,423,1889,-16,211,-22,16
-571,424,1872,-18,208,-20,17
-572,430,1884,-23,211,-22,18
-574,416,1877,-21,211,-18,19
-564,419,1878,-22,206,-22,20
-581,427,1912,-21,187,-18,21
-575,424,1886,-20,209,-21,22
-566,460,1935,3,176,-18,23
-574,413,1877,-18,207,-26,24
-574,425,1890,-21,208,-23,25
-572,421,1881,-21,210,-24,26
-567,427,1878,-17,212,-21,27
-568,422,1873,-19,203,-23,28
-570,423,1895,-22,209,-22,29
-571,422,1881,-17,207,-24,30
-577,425,1885,-23,207,-24,31
-567,414,1882,-17,206,-24,32
-574,422,1873,-20,211,-21,33
-572,429,1889,-19,202,-22,34
-565,427,1879,-19,207,-21,35
-566,424,1881,-21,205,-19,36
-563,422,1881,-16,207,-23,37
-564,418,1883,-18,211,-23,38
-572,423,1886,-22,209,-22,39
-577,437,1873,-34,222,-25,40
-567,424,1887,-22,206,-22,41
-574,435,1883,-26,208,-24,42
-558,413,1881,-19,209,-23,43
-571,422,1888,-22,209,-22,44
-573,415,1886,-17,203,-25,45
-571,425,1887,-21,211,-25,46
-568,425,1876,-20,211,-23,47
-563,416,1875,-19,208,-23,48
-566,423,1886,-19,207,-23,49
-562,418,1875,-18,210,-24,50
-564,421,1871,-17,205,-23,51
-570,422,1875,-18,205,-23,52
-573,419,1871,-21,210,-22,53
-575,432,1885,-24,210,-26,54
-558,417,1885,-18,210,-25,55
-563,415,1887,-18,209,-21,56
-568,419,1889,-21,207,-27,57
-574,420,1870,-21,209,-23,58
-561,426,1877,-19,207,-23,59
