ax,ay,az,gx,gy,gz,reading_index
-148,518,1955,-20,200,-22,0
-147,508,1950,-24,206,-24,1
-145,516,1962,-18,205,-23,2
-141,513,1954,-19,206,-27,3
-145,516,1951,-22,209,-23,4
-157,505,1947,-20,206,-28,5
-153,521,1944,-22,204,-22,6
-142,517,1966,-17,208,-23,7
-148,515,1964,-17,206,-23,8
-144,509,1951,-22,211,-25,9
-142,508,1954,-20,208,-27,10
-139,511,1935,-18,206,-24,11
-154,519,1943,-21,204,-21,12
-153,515,1947,-24,197,-24,13
-150,516,1955,-19,204,-23,14
-151,517,1946,-19,205,-24,15
-142,518,1956,-18,210,-25,16
-150,508,1955,-17,212,-23,17
-137,511,1950,-20,213,-20,18
-144,517,1949,-21,206,-27,19
-144,513,1937,-25,208,-22,20
-153,522,1942,-21,207,-25,21
-148,518,1952,-19,204,-23,22
-144,516,1948,-19,207,-22,23
-138,506,1966,-21,209,-23,24
-139,506,1954,-20,206,-27,25
-149,518,1944,-24,207,-25,26
-151,514,1946,-22,205,-24,27
-154,517,1961,-21,208,-25,28
-153,520,1964,-21,207,-23,29
-143,510,1956,-18,206,-23,30
-136,518,1940,-21,204,-22,31
-150,523,1951,-23,201,-22,32
-148,522,1956,-22,205,-27,33
-155,517,1955,-20,204,-22,34
-139,512,1958,-18,208,-20,35
-151,515,1955,-21,210,-22,36
-145,517,1961,-19,215,-24,37
-146,509,1954,-21,204,-23,38
-156,506,1954,-19,204,-23,39
-148,509,1974,-23,205,-22,40
-147,516,1945,-19,205,-21,41
-144,511,1965,-17,206,-24,42
-139,517,1957,-20,203,-24,43
-149,517,1963,-21,208,-22,44
-154,512,1949,-25,206,-25,45
-144,510,1951,-21,208,-23,46
-139,514,1953,-23,209,-25,47
-194,343,2614,860,-809,-57,48
-630,1095,2149,827,-79,917,49
-926,1190,2189,196,-1276,569,50
-865,932,1874,171,524,14,51
-697,1130,2280,-1035,1396,-493,52
-185,1325,1197,-2101,974,-381,53
-376,1487,994,-1397,-561,-83,54
-601,1706,-428,-16,222,83,55
-909,1924,217,-1212,-2008,-378,56
-505,1437,1112,-507,-841,719,57
-1033,1017,1509,-3076,-140,652,58
-415,1346,1296,438,48,-9,59
