ax,ay,az,gx,gy,gz,reading_index
540,-1934,-158,-67,500,-195,0
580,-1854,-420,107,-58,354,1
1080,-1490,-461,-2047,150,-508,2
553,-1926,-259,11,132,-19,3
1041,-1584,-650,946,30,260,4
621,-1916,-256,58,180,-124,5
1335,-2556,159,106,-25,-3,6
630,-1675,-147,-1280,-192,-105,7
647,-1905,-293,-46,115,-21,8
738,-1748,-179,1458,415,239,9
1067,-1770,-425,-52,1328,-354,10
530,-1934,-399,125,274,-2,11
832,-1858,-356,1452,45,175,12
787,-1899,-409,-43,296,-311,13
619,-1905,-165,162,-15,115,14
1085,-1537,-674,-828,214,-144,15
609,-1902,-179,-68,260,-124,16
1677,-2405,525,225,-783,-50,17
585,-1982,175,-258,790,-358,18
420,-1966,-263,70,161,-13,19
895,-1724,-633,1318,-9,181,20
553,-1969,-368,-83,163,-349,21
597,-1935,-39,26,-98,86,22
879,-1886,-233,2073,1797,70,23
911,-1945,-402,-2267,-74,-145,24
645,-1885,-349,114,358,-89,25
607,-2102,39,-60,467,240,26
2098,-2778,74,-480,-742,199,27
727,-1974,-440,1514,266,128,28
927,-1264,-777,-86,834,-7,29
981,-1811,-322,-1271,-155,-95,30
1009,-2038,-1252,488,544,-87,31
804,-1407,13,-279,66,-145,32
913,-2131,-619,3449,796,228,33
803,-1175,-1125,-42,230,70,34
972,-2191,-355,-3231,285,-376,35
674,-1586,-56,-739,-275,-47,36
687,-1867,197,2673,812,112,37
922,-1998,-1004,3298,640,512,38
706,-1823,-699,865,372,226,39
837,-1932,-660,-1301,135,-176,40
754,-1967,-673,-2064,-301,-398,41
847,-2090,-436,-2526,-712,-466,42
472,-2030,-104,-2625,-210,-470,43
623,-2087,-99,-2814,-181,-294,44
649,-1963,3,-2640,41,-187,45
602,-1885,18,-2146,-24,-160,46
571,-1716,457,-1499,277,-11,47
600,-1716,177,-1282,54,-55,48
634,-1625,135,-1015,280,-26,49
664,-1541,162,-369,266,-25,50
693,-1508,128,649,-18,-29,51
601,-1536,232,1238,-173,-9,52
642,-1798,46,1949,273,65,53
668,-1972,15,2281,613,138,54
576,-1758,289,1740,522,4,55
562,-1776,139,1712,498,35,56
