ax,ay,az,gx,gy,gz,reading_index
-274,975,1760,-21,208,-23,0
-267,972,1761,-23,204,-21,1
-278,989,1757,-23,206,-24,2
-272,973,1770,-19,204,-25,3
-272,975,1759,-21,203,-23,4
-268,986,1749,-23,211,-22,5
-268,973,1767,-19,206,-21,6
-268,969,1763,-21,208,-22,7
-278,980,1760,-19,206,-22,8
-265,984,1756,-19,208,-20,9
-275,978,1754,-21,208,-18,10
-267,980,1758,-21,209,-21,11
-280,984,1758,-22,208,-22,12
-280,977,1758,-24,205,-21,13
-272,974,1768,-19,206,-21,14
-268,977,1761,-20,210,-23,15
-270,981,1768,-19,209,-23,16
-271,974,1760,-20,208,-24,17
-268,980,1761,-18,209,-22,18
-267,976,1756,-19,206,-23,19
-268,976,1774,-19,208,-23,20
-267,974,1763,-20,205,-20,21
-266,982,1766,-20,210,-22,22
-270,981,1757,-23,202,-20,23
-280,988,1764,-20,208,-23,24
-269,979,1766,-25,201,-22,25
-267,990,1743,-14,208,-24,26
-264,984,1749,-19,204,-21,27
-277,979,1755,-22,206,-20,28
-271,981,1767,-18,204,-19,29
-277,988,1758,-23,208,-21,30
-270,989,1759,-18,201,-20,31
-267,984,1762,-19,206,-20,32
-274,977,1769,-18,207,-21,33
-273,975,1762,-19,204,-22,34
-272,979,1759,-22,209,-23,35
-272,984,1750,-23,207,-20,36
-275,976,1761,-20,207,-23,37
-268,979,1768,-19,205,-22,38
-282,984,1752,-16,206,-24,39
-268,970,1750,-22,210,-21,40
-279,977,1747,-20,206,-24,41
-268,977,1756,-23,203,-26,42
-264,978,1757,-25,205,-21,43
-270,979,1764,-19,208,-25,44
-266,980,1749,-17,207,-23,45
-265,985,1749,-18,206,-21,46
-269,980,1764,-22,208,-17,47
-273,972,1754,-18,207,-20,48
-268,983,1754,-21,206,-21,49
-272,985,1763,-21,203,-22,50
-267,975,1752,-21,212,-19,51
-273,972,1751,-20,207,-20,52
-271,981,1756,-22,206,-20,53
-275,988,1775,-19,204,-24,54
-265,983,1765,-19,207,-21,55
-274,977,1759,-22,206,-25,56
-278,982,1764,-19,208,-21,57
-277,967,1767,-20,204,-21,58
-276,975,1757,-19,205,-21,59
