ax,ay,az,gx,gy,gz,reading_index
-569,421,1877,-18,207,-21,0
-569,419,1880,-20,203,-24,1
-572,420,1885,-17,207,-23,2
-576,422,1881,-18,216,-24,3
-565,419,1876,-19,212,-22,4
-564,430,1878,-20,207,-24,5
-570,416,1899,-21,211,-23,6
-560,424,1882,-20,203,-24,7
-571,419,1868,-19,208,-22,8
-571,418,1896,-18,209,-19,9
-564,428,1872,-19,208,-25,10
-566,417,1877,-20,209,-24,11
-568,428,1879,-20,212,-22,12
-565,423,1879,-17,211,-23,13
-557,426,1889,-20,204,-23,14
-562,423,1884,-20,212,-26,15
-566,423,1873,-21,207,-22,16
-567,428,1881,-25,208,-22,17
-567,417,1882,-19,208,-24,18
-566,422,1867,-17,209,-19,19
-572,430,1879,-23,214,-22,20
-567,426,1890,-19,211,-22,21
-568,433,1886,-20,205,-22,22
-567,421,1886,-21,206,-22,23
-561,420,1876,-19,208,-24,24
-567,424,1896,-19,209,-24,25
-561,422,1894,-22,206,-26,26
-568,424,1884,-15,209,-23,27
-566,427,1874,-19,209,-26,28
-564,426,1863,-19,208,-21,29
-563,424,1868,-17,211,-22,30
-565,429,1872,-22,208,-24,31
-569,421,1881,-20,208,-24,32
-554,419,1891,-20,210,-24,33
-562,422,1884,-16,210,-23,34
-563,427,1889,-17,206,-24,35
-560,429,1895,-18,210,-27,36
-575,423,1869,-17,209,-24,37
-569,418,1898,-26,206,-25,38
-568,428,1875,-22,206,-22,39
-563,430,1880,-15,210,-23,40
-563,423,1875,-19,209,-27,41
-558,415,1880,-21,211,-24,42
-556,424,1887,-22,211,-27,43
-563,423,1877,-21,206,-27,44
-574,432,1883,-20,202,-20,45
-562,423,1888,-16,200,-22,46
-570,429,1900,-18,207,-23,47
-568,420,1889,-19,208,-23,48
-561,417,1879,-20,210,-23,49
-561,426,1883,-23,210,-23,50
-562,425,1889,-21,210,-21,51
-566,421,1896,-21,212,-26,52
-570,430,1878,-17,211,-25,53
-566,413,1887,-21,207,-24,54
-563,415,1869,-16,205,-25,55
