ax,ay,az,gx,gy,gz,reading_index
-265,983,1749,-23,207,-23,0
-275,981,1767,-21,203,-21,1
-269,980,1758,-19,203,-19,2
-278,978,1774,-22,210,-23,3
-271,979,1767,-20,208,-22,4
-271,977,1762,-20,209,-21,5
-281,972,1770,-24,207,-22,6
-281,970,1766,-22,204,-21,7
-274,976,1761,-22,206,-22,8
-270,979,1758,-18,206,-20,9
-267,977,1762,-20,205,-20,10
-265,976,1758,-18,209,-23,11
-275,976,1751,-21,206,-21,12
-276,974,1761,-18,207,-22,13
-264,983,1761,-20,203,-20,14
-274,989,1763,-19,206,-21,15
-270,974,1768,-22,205,-20,16
-275,976,1761,-20,207,-25,17
-276,977,1765,-20,207,-21,18
-263,979,1751,-24,204,-20,19
-274,979,1756,-19,204,-20,20
-264,974,1742,-22,207,-20,21
-266,976,1760,-19,208,-19,22
-271,972,1751,-24,205,-24,23
-272,979,1767,-20,207,-21,24
-274,976,1768,-21,209,-23,25
-269,982,1767,-22,209,-21,26
-279,978,1759,-21,205,-23,27
-273,983,1761,-12,207,-20,28
-282,977,1766,-27,206,-22,29
-276,980,1763,-22,207,-22,30
-272,984,1769,-21,207,-22,31
-270,987,1760,-19,204,-23,32
-271,970,1760,-21,207,-22,33
-266,980,1758,-30,208,-20,34
-268,969,1750,-18,206,-25,35
-276,977,1758,-18,207,-20,36
-274,974,1748,-23,207,-22,37
-265,984,1764,-25,207,-23,38
-271,982,1757,-21,203,-19,39
-275,971,1766,-18,217,-21,40
-268,972,1761,-21,203,-20,41
-291,999,1767,5,209,-23,42
-275,993,1759,-21,211,-24,43
-263,982,1758,-18,210,-23,44
-269,975,1748,-18,206,-23,45
-269,976,1757,-18,205,-20,46
-272,974,1758,-16,207,-22,47
-270,974,1757,-21,209,-22,48
-268,978,1756,-18,205,-23,49
-270,977,1771,-19,205,-23,50
-273,979,1774,-20,211,-25,51
-269,975,1753,-24,205,-19,52
-273,987,1749,-20,206,-18,53
-271,977,1775,-22,204,-23,54
-271,972,1764,-19,203,-20,55
-269,980,1749,-20,209,-23,56
