ax,ay,az,gx,gy,gz,reading_index
108,626,1868,-14,200,-18,0
51,619,1968,-20,187,-20,1
42,618,1863,-6,195,-22,2
65,626,1923,-27,185,-21,3
13,627,1942,-7,257,-32,4
57,626,1985,-29,229,-26,5
48,614,1901,4,245,-28,6
56,632,1899,-34,153,-23,7
56,634,1856,-2,255,-13,8
74,600,1855,-9,319,19,9
62,620,1920,-17,218,-21,10
68,634,1930,-21,224,-21,11
66,637,1934,-18,235,-21,12
61,638,1895,-34,152,-21,13
164,641,1825,-68,68,0,14
69,638,1928,-17,205,-22,15
59,617,1907,-11,221,-14,16
74,624,1923,-17,204,-17,17
57,624,1919,-12,219,-13,18
76,629,1889,-29,186,-20,19
81,625,1923,-19,184,-20,20
43,632,1919,-27,217,-25,21
77,633,1834,-10,227,-16,22
89,638,1928,-27,226,-18,23
61,622,1937,-18,207,-20,24
69,625,1938,-13,210,-21,25
63,630,1953,-23,191,-21,26
83,622,1905,-18,223,-18,27
71,630,1942,-16,229,-22,28
65,626,1924,-16,232,-19,29
61,630,1916,-13,224,-17,30
74,624,1928,-18,212,-21,31
59,624,1883,-14,253,-20,32
56,620,1920,-28,200,-21,33
65,620,1918,-17,216,-18,34
66,632,1915,-21,207,-21,35
82,620,1929,-15,220,-17,36
78,628,1903,-16,225,-14,37
84,636,1924,-17,200,-20,38
65,636,1974,-29,161,-27,39
79,637,1920,-13,237,-20,40
89,618,1922,1,237,-12,41
71,626,1939,-19,210,-23,42
75,618,1939,-15,218,-20,43
80,630,1946,-26,197,-23,44
101,623,1911,-15,207,-12,45
78,632,1894,-23,197,-19,46
73,625,1923,-17,163,-13,47
81,625,1929,-21,213,-23,48
81,635,1893,-20,204,-21,49
109,670,1924,-26,198,-22,50
75,623,1901,-8,271,-22,51
74,639,1936,-16,279,-30,52
51,617,1888,-18,230,-20,53
79,627,1958,-32,207,-28,54
68,628,1921,-11,215,-17,55
87,627,1827,-20,213,-13,56
78,639,1943,-12,226,-21,57
67,622,1913,-26,165,-18,58
69,631,1971,-19,182,-19,59
