ax,ay,az,gx,gy,gz,reading_index
-567,432,1877,-19,215,-25,0
-566,426,1876,-23,207,-24,1
-561,420,1884,-19,209,-21,2
-563,423,1881,-21,206,-26,3
-564,428,1886,-18,206,-21,4
-569,429,1879,-20,206,-20,5
-556,425,1886,-15,209,-24,6
-556,423,1882,-18,207,-23,7
-556,426,1879,-23,206,-22,8
-558,426,1892,-22,210,-21,9
-563,419,1891,-19,207,-25,10
-562,428,1890,-17,210,-23,11
-560,425,1892,-22,208,-23,12
-559,425,1879,-17,207,-22,13
-553,421,1876,-21,207,-20,14
-560,425,1874,-21,209,-25,15
-560,429,1878,-22,207,-25,16
-563,421,1882,-20,206,-22,17
-561,424,1893,-18,207,-21,18
-562,418,1887,-18,204,-23,19
-558,428,1887,-15,209,-24,20
-565,425,1886,-22,206,-23,21
-556,420,1887,-17,211,-22,22
-561,418,1871,-21,209,-25,23
-563,429,1880,-18,207,-21,24
-561,429,1885,-23,204,-24,25
-568,418,1897,-24,213,-21,26
-554,417,1892,-19,208,-24,27
-559,419,1876,-19,209,-22,28
-740,347,1679,-1118,-230,203,29
-575,549,2217,-177,247,-43,30
-596,577,1850,26,195,-22,31
-599,578,1822,1,200,-25,32
-592,627,1818,80,182,-34,33
-547,631,1840,-36,219,-27,34
-546,649,1813,-14,207,-23,35
-546,653,1820,-40,219,-21,36
-561,655,1791,-15,226,-27,37
-567,667,1827,-13,218,-22,38
-556,715,1780,13,149,-22,39
-560,733,1812,-2,216,-20,40
-556,739,1799,-10,216,-20,41
-564,758,1790,-17,209,-24,42
-559,757,1773,-12,205,-13,43
-565,747,1789,-18,208,-25,44
-557,758,1794,-16,193,-24,45
-553,753,1793,-11,206,-25,46
-555,751,1767,-10,207,-27,47
-577,778,1770,-11,217,-21,48
-540,771,1795,-18,222,-24,49
-571,765,1774,-5,184,-29,50
-547,760,1788,-44,219,-11,51
-569,778,1799,27,192,-25,52
-584,788,1748,-58,210,-26,53
-591,811,1748,-41,238,-19,54
-590,841,1765,9,214,-28,55
-598,862,1744,-25,223,-18,56
