ax,ay,az,gx,gy,gz,session,reading_index
-688,-3430,583,-693,2236,-847,2025-11-12_19-44-55,24
236,-1968,-428,2942,175,-470,2025-11-12_19-44-55,25
-166,-2330,-18,-1293,-1087,599,2025-11-12_19-44-55,26
-24,-2060,-281,-541,322,-26,2025-11-12_19-44-55,27
426,-1609,175,-386,2310,-701,2025-11-12_19-44-55,28
378,-1909,-233,1575,-673,479,2025-11-12_19-44-55,29
263,-1970,-195,-523,438,-124,2025-11-12_19-44-55,30
40,-2840,343,-2240,3363,-421,2025-11-12_19-44-55,31
-255,-2113,-354,2097,-1033,-327,2025-11-12_19-44-55,32
-667,-2342,396,-1638,-944,80,2025-11-12_19-44-55,33
368,-1924,-200,-626,-182,-155,2025-11-12_19-44-55,34
458,-1810,-898,-1360,-352,-606,2025-11-12_19-44-55,35
-119,-1710,280,1639,1248,-78,2025-11-12_19-44-55,36
355,-2046,-220,2207,-1142,-224,2025-11-12_19-44-55,37
-401,-3373,923,-1918,-385,-66,2025-11-12_19-44-55,38
365,-1910,-335,-672,-252,-284,2025-11-12_19-44-55,39
-624,-2077,-320,-2448,1591,-861,2025-11-12_19-44-55,40
-22,-2055,-280,2905,1286,-122,2025-11-12_19-44-55,41
1024,-2343,-656,-722,-488,803,2025-11-12_19-44-55,42
55,-2087,-325,-419,1332,-169,2025-11-12_19-44-55,43
-6,-2063,-250,2390,597,-110,2025-11-12_19-44-55,44
-71,-2373,-45,-1287,-1191,440,2025-11-12_19-44-55,45
403,-2000,-205,-467,-140,-100,2025-11-12_19-44-55,46
-586,-1642,-940,-3340,3943,-520,2025-11-12_19-44-55,47
20,-1903,-506,2072,375,-220,2025-11-12_19-44-55,48
277,-1960,-709,-1011,821,154,2025-11-12_19-44-55,49
434,-1930,-405,-711,67,-92,2025-11-12_19-44-55,50
576,-1928,-605,-1270,2,-639,2025-11-12_19-44-55,51
85,-1868,235,2195,399,-296,2025-11-12_19-44-55,52
-354,-1880,-559,421,115,233,2025-11-12_19-44-55,53
229,-2008,-555,-879,-392,-42,2025-11-12_19-44-55,54
-413,-2297,-745,-963,-1414,-994,2025-11-12_19-44-55,55
587,-2027,-683,2166,2259,40,2025-11-12_19-44-55,56
-224,-1614,319,709,-246,300,2025-11-12_19-45-55,0
188,-1929,-514,2392,-2385,-340,2025-11-12_19-45-55,1
319,-2009,-170,-909,-529,-94,2025-11-12_19-45-55,2
300,-1893,-267,-603,-1199,-52,2025-11-12_19-45-55,3
45,-1905,69,1453,1375,-217,2025-11-12_19-45-55,4
198,-1786,-395,1154,-617,236,2025-11-12_19-45-55,5
244,-2049,-368,-954,-141,-93,2025-11-12_19-45-55,6
138,-1969,-275,-1009,151,-401,2025-11-12_19-45-55,7
68,-1932,-35,2691,726,-83,2025-11-12_19-45-55,8
179,-2098,-715,-957,474,201,2025-11-12_19-45-55,9
284,-1927,-104,-565,-187,-74,2025-11-12_19-45-55,10
779,-2089,-781,682,3862,-302,2025-11-12_19-45-55,11
121,-2247,162,-771,189,514,2025-11-12_19-45-55,12
913,-1918,-66,-992,619,-204,2025-11-12_19-45-55,13
8,-1907,263,1400,135,-457,2025-11-12_19-45-55,14
-153,-1732,-534,697,-370,275,2025-11-12_19-45-55,15
372,-1981,-180,-761,-540,-159,2025-11-12_19-45-55,16
425,-1938,-123,-694,-857,-52,2025-11-12_19-45-55,17
83,-1789,314,781,204,-427,2025-11-12_19-45-55,18
-19,-1793,-546,562,58,97,2025-11-12_19-45-55,19
343,-2062,-321,-981,-312,-76,2025-11-12_19-45-55,20
444,-2031,-234,-989,720,-204,2025-11-12_19-45-55,21
212,-1824,-79,-241,1573,-327,2025-11-12_19-45-55,22
439,-2001,-535,2302,-664,-400,2025-11-12_19-45-55,23
191,-2113,-415,-911,-199,63,2025-11-12_19-45-55,24
148,-2020,-164,-568,-395,-699,2025-11-12_19-45-55,25
531,-2130,-183,2170,1503,-36,2025-11-12_19-45-55,26
268,-2609,-253,-1044,290,270,2025-11-12_19-45-55,27
706,-1929,-373,-713,291,-169,2025-11-12_19-45-55,28
225,-1883,-451,2171,707,-241,2025-11-12_19-45-55,29
-161,-1880,-762,-39,-1802,-415,2025-11-12_19-45-55,30
354,-2049,-44,-752,-701,-171,2025-11-12_19-45-55,31
352,-2021,60,-845,245,-294,2025-11-12_19-45-55,32
234,-1854,52,-71,2212,-549,2025-11-12_19-45-55,33
587,-2046,-649,2341,-389,-351,2025-11-12_19-45-55,34
168,-2060,-209,-1347,-562,80,2025-11-12_19-45-55,35
259,-1989,-82,-533,-649,-82,2025-11-12_19-45-55,36
318,-1590,-191,-881,1162,-375,2025-11-12_19-45-55,37
454,-1951,-347,2321,-252,-690,2025-11-12_19-45-55,38
489,-2613,-334,-1108,-413,53,2025-11-12_19-45-55,39
167,-2176,-222,-883,870,-263,2025-11-12_19-45-55,40
994,-1938,-694,-28,3288,469,2025-11-12_19-45-55,41
372,-1933,-322,-408,-22,-96,2025-11-12_19-45-55,42
210,-1664,23,-416,1255,-429,2025-11-12_19-45-55,43
314,-1931,-453,1964,-1217,-146,2025-11-12_19-45-55,44
275,-2057,-311,-793,-354,-66,2025-11-12_19-45-55,45
-119,-2075,-133,-600,-1342,-218,2025-11-12_19-45-55,46
86,-1835,122,1387,1170,-412,2025-11-12_19-45-55,47
87,-1885,-526,2051,-1328,-161,2025-11-12_19-45-55,48
234,-2087,-278,-1124,-392,76,2025-11-12_19-45-55,49
