ax,ay,az,gx,gy,gz,session,reading_index
930,-1910,-135,-620,675,-160,2025-10-24_13-24-00,28
880,-1770,450,20,435,-2,2025-10-24_13-24-00,29
842,-1750,585,-25,170,-30,2025-10-24_13-24-00,30
810,-1735,650,-5,280,-22,2025-10-24_13-24-00,31
940,-1640,250,-245,158,-350,2025-10-24_13-24-00,32
235,-1600,-1140,-970,1300,-370,2025-10-24_13-24-00,33
470,-1940,220,-1080,-270,-105,2025-10-24_13-24-00,34
595,-2180,70,-620,350,245,2025-10-24_13-24-00,35
170,-1410,55,-610,-1780,295,2025-10-24_13-24-00,36
1065,-1530,-730,3040,-530,1500,2025-10-24_13-24-00,37
1490,-2980,470,-3270,990,315,2025-10-24_13-24-00,38
490,-1888,-80,-740,200,10,2025-10-24_13-24-00,39
790,-2360,-10,-540,-1150,45,2025-10-24_13-24-00,40
1030,-1640,180,-450,1750,-515,2025-10-24_13-24-00,41
375,-1940,-150,-625,405,70,2025-10-24_13-24-00,42
1270,-2070,-430,-710,-1950,570,2025-10-24_13-24-00,43
910,-1360,-975,2250,-680,1180,2025-10-24_13-24-00,44
540,-1945,-250,-1515,45,-42,2025-10-24_13-24-00,45
505,-1960,180,-840,515,30,2025-10-24_13-24-00,46
360,-1215,40,-270,-1840,300,2025-10-24_13-24-00,47
1115,-1355,-790,2130,-50,1700,2025-10-24_13-24-00,48
510,-2095,-245,-1190,590,-100,2025-10-24_13-24-00,49
290,-2082,-280,-1145,660,255,2025-10-24_13-24-00,50
605,-1505,-190,2265,-540,30,2025-10-24_13-24-00,51
650,-1375,-1000,640,2515,570,2025-10-24_13-24-00,52
470,-2000,-25,-1180,230,-75,2025-10-24_13-24-00,53
655,-1888,190,-125,645,350,2025-10-24_13-24-00,54
810,-1900,-590,1600,-2340,85,2025-10-24_13-24-00,55
512,-1975,-115,-750,280,-2,2025-10-24_13-24-00,56
-90,-2685,-795,-1110,-45,355,2025-10-24_13-24-00,57
970,-1780,-660,3580,-475,510,2025-10-24_13-24-00,58
1160,-3190,-270,-2990,900,235,2025-10-24_13-24-00,59
575,-1858,-285,3448,-271,627,2025-11-01_00-47-30,0
734,-1653,-812,1080,3283,2167,2025-11-01_00-47-30,1
495,-1999,-612,-1329,1837,102,2025-11-01_00-47-30,2
-140,-2002,-205,-801,1403,-182,2025-11-01_00-47-30,3
-215,-2713,-1119,-1960,272,245,2025-11-01_00-47-30,4
130,-1578,-563,2270,-71,428,2025-11-01_00-47-30,5
475,-1777,-983,3655,-744,841,2025-11-01_00-47-30,6
482,-2232,-300,-946,1120,319,2025-11-01_00-47-30,7
181,-2129,-555,-1107,2090,-62,2025-11-01_00-47-30,8
99,-1974,-204,-913,972,52,2025-11-01_00-47-30,9
-21,-2729,172,-1330,1620,-221,2025-11-01_00-47-30,10
313,-1995,-736,2944,-589,894,2025-11-01_00-47-30,11
631,-2618,717,-1835,-118,-810,2025-11-01_00-47-30,12
272,-1916,-66,-925,-58,-110,2025-11-01_00-47-30,13
80,-2013,-426,-852,-250,-116,2025-11-01_00-47-30,14
412,-1834,-1089,-1216,-1168,-764,2025-11-01_00-47-30,15
651,-1861,-432,3296,113,918,2025-11-01_00-47-30,16
842,-1741,-625,1167,1176,1564,2025-11-01_00-47-30,17
103,-2105,-318,-1186,1671,-23,2025-11-01_00-47-30,18
60,-1902,-12,-778,306,-135,2025-11-01_00-47-30,19
48,-2541,-1479,-1761,1095,223,2025-11-01_00-47-30,20
197,-1518,-131,-160,-489,457,2025-11-01_00-47-30,21
429,-1910,-763,3835,-983,1070,2025-11-01_00-47-30,22
357,-1661,-663,387,2181,420,2025-11-01_00-47-30,23
453,-2219,-609,-1941,1772,-189,2025-11-01_00-47-30,24
-267,-2085,43,-724,1255,76,2025-11-01_00-47-30,25
-110,-1283,-239,-1009,-603,-152,2025-11-01_00-47-30,26
492,-1964,-619,3814,-1275,930,2025-11-01_00-47-30,27
354,-2163,-573,234,1404,-169,2025-11-01_00-47-30,28
-34,-2414,210,-2117,617,-655,2025-11-01_00-47-30,29
257,-2006,-208,-937,-70,3,2025-11-01_00-47-30,30
-199,-2087,-204,-843,-295,-164,2025-11-01_00-47-30,31
1145,-2225,-792,-1472,-1159,-785,2025-11-01_00-47-30,32
850,-1781,306,3038,1028,640,2025-11-01_00-47-30,33
899,-1853,-407,628,3188,1862,2025-11-01_00-47-30,34
297,-2162,-281,-1406,1108,-474,2025-11-01_00-47-30,35
183,-1930,5,-713,265,-130,2025-11-01_00-47-30,36
41,-1977,-1369,-1641,547,192,2025-11-01_00-47-30,37
238,-1675,-335,-1564,-408,153,2025-11-01_00-47-30,38
826,-1872,-529,4045,-1356,1115,2025-11-01_00-47-30,39
389,-1963,-486,1346,2774,1843,2025-11-01_00-47-30,40
98,-2076,-517,-1501,1601,-131,2025-11-01_00-47-30,41
-83,-1934,-16,-665,989,-1,2025-11-01_00-47-30,42
874,-1373,-182,-1415,-755,418,2025-11-01_00-47-30,43
317,-2001,-835,3366,-2574,1079,2025-11-01_00-47-30,44
254,-2065,-776,1135,1167,147,2025-11-01_00-47-30,45
192,-2063,-122,-1306,1225,-322,2025-11-01_00-47-30,46
134,-1976,-143,-852,491,-170,2025-11-01_00-47-30,47
212,-1559,-1189,-1464,604,153,2025-11-01_00-47-30,48
668,-1773,293,1503,2203,252,2025-11-01_00-47-30,49
970,-1868,-592,-380,3086,1596,2025-11-01_00-47-30,50
206,-2059,-270,-1118,1631,-203,2025-11-01_00-47-30,51
629,-1984,0,-876,-940,5,2025-11-01_00-47-30,52
1747,-3495,304,-1655,-2527,136,2025-11-01_00-47-30,53
539,-1986,-588,3550,-1424,1127,2025-11-01_00-47-30,54
758,-2398,-185,-403,1713,503,2025-11-01_00-47-30,55
355,-2039,-247,-1414,1696,-273,2025-11-01_00-47-30,56
110,-1957,105,-853,1188,-5,2025-11-01_00-47-30,57
311,-2921,1149,-351,635,35,2025-11-01_00-47-30,58
310,-2069,-831,2129,495,1281,2025-11-01_00-47-30,59
1144,-1804,-544,-842,-2221,-139,2025-11-01_01-00-54,0
59,-1681,-444,-1271,1508,-648,2025-11-01_01-00-54,1
606,-1967,-870,3551,1763,915,2025-11-01_01-00-54,2
956,-1496,-642,2109,-461,260,2025-11-01_01-00-54,3
-504,-3100,-282,-2176,419,-314,2025-11-01_01-00-54,4
109,-1946,-285,-689,1265,-323,2025-11-01_01-00-54,5
-302,-1497,-210,-616,4114,-860,2025-11-01_01-00-54,6
451,-1876,-831,3509,538,884,2025-11-01_01-00-54,7
1376,-1758,-1346,-1111,888,-82,2025-11-01_01-00-54,8
185,-2130,-106,-1046,-692,-124,2025-11-01_01-00-54,9
475,-1973,-381,-533,-143,-225,2025-11-01_01-00-54,10
-41,-2072,-1256,-1483,287,-711,2025-11-01_01-00-54,11
136,-1658,-116,1992,2056,-27,2025-11-01_01-00-54,12
1152,-1394,-1061,2485,809,1321,2025-11-01_01-00-54,13
-88,-3374,495,-2417,304,63,2025-11-01_01-00-54,14
647,-2046,-73,-550,-2057,-382,2025-11-01_01-00-54,15
195,-1731,-453,-1731,574,-690,2025-11-01_01-00-54,16
230,-2048,-749,3622,-817,400,2025-11-01_01-00-54,17
1533,-1942,-1888,-591,397,-244,2025-11-01_01-00-54,18
220,-2086,-112,-1192,-669,-154,2025-11-01_01-00-54,19
194,-2031,-306,-621,-61,-278,2025-11-01_01-00-54,20
