T,P,session,reading_index
29.48,908.82,2025-11-12_19-45-55,22
29.47,908.75,2025-11-12_19-45-55,23
29.48,908.78,2025-11-12_19-45-55,24
29.49,908.8,2025-11-12_19-45-55,25
29.5,908.73,2025-11-12_19-45-55,26
29.49,908.68,2025-11-12_19-45-55,27
29.5,908.69,2025-11-12_19-45-55,28
29.5,908.65,2025-11-12_19-45-55,29
29.5,908.57,2025-11-12_19-45-55,30
29.51,908.61,2025-11-12_19-45-55,31
29.52,908.65,2025-11-12_19-45-55,32
29.51,908.8,2025-11-12_19-45-55,33
29.51,908.72,2025-11-12_19-45-55,34
29.52,908.64,2025-11-12_19-45-55,35
29.51,908.57,2025-11-12_19-45-55,36
29.5,908.56,2025-11-12_19-45-55,37
29.51,908.66,2025-11-12_19-45-55,38
29.51,908.58,2025-11-12_19-45-55,39
29.52,908.62,2025-11-12_19-45-55,40
29.53,908.7,2025-11-12_19-45-55,41
29.51,908.66,2025-11-12_19-45-55,42
29.5,908.62,2025-11-12_19-45-55,43
29.51,908.65,2025-11-12_19-45-55,44
29.51,908.66,2025-11-12_19-45-55,45
29.52,908.69,2025-11-12_19-45-55,46
29.52,908.67,2025-11-12_19-45-55,47
29.52,908.66,2025-11-12_19-45-55,48
29.54,908.72,2025-11-12_19-45-55,49
29.53,908.67,2025-11-12_19-45-55,50
29.55,908.75,2025-11-12_19-45-55,51
29.54,908.7,2025-11-12_19-45-55,52
29.55,908.68,2025-11-12_19-45-55,53
29.55,908.66,2025-11-12_19-45-55,54
29.57,908.69,2025-11-12_19-45-55,55
30.6,912.4,2025-11-12_19-45-55,56
30.6,912.4,2025-11-12_19-45-55,57
29.44,909.39,2025-11-12_19-46-56,0
29.41,909.27,2025-11-12_19-46-56,1
29.42,909.25,2025-11-12_19-46-56,2
29.41,909.28,2025-11-12_19-46-56,3
29.41,909.24,2025-11-12_19-46-56,4
29.42,909.29,2025-11-12_19-46-56,5
29.41,909.32,2025-11-12_19-46-56,6
29.43,909.29,2025-11-12_19-46-56,7
29.43,909.29,2025-11-12_19-46-56,8
29.43,909.28,2025-11-12_19-46-56,9
29.42,909.14,2025-11-12_19-46-56,10
29.44,909.14,2025-11-12_19-46-56,11
29.43,909.16,2025-11-12_19-46-56,12
29.44,909.06,2025-11-12_19-46-56,13
29.45,909.18,2025-11-12_19-46-56,14
29.45,909.05,2025-11-12_19-46-56,15
29.45,908.96,2025-11-12_19-46-56,16
29.46,908.99,2025-11-12_19-46-56,17
29.47,908.95,2025-11-12_19-46-56,18
29.47,908.89,2025-11-12_19-46-56,19
29.48,908.94,2025-11-12_19-46-56,20
29.47,908.88,2025-11-12_19-46-56,21
29.48,908.82,2025-11-12_19-46-56,22
29.47,908.75,2025-11-12_19-46-56,23
29.48,908.78,2025-11-12_19-46-56,24
29.49,908.8,2025-11-12_19-46-56,25
29.5,908.73,2025-11-12_19-46-56,26
29.49,908.68,2025-11-12_19-46-56,27
29.5,908.69,2025-11-12_19-46-56,28
29.5,908.65,2025-11-12_19-46-56,29
29.5,908.57,2025-11-12_19-46-56,30
29.51,908.61,2025-11-12_19-46-56,31
29.52,908.65,2025-11-12_19-46-56,32
29.51,908.8,2025-11-12_19-46-56,33
29.51,908.72,2025-11-12_19-46-56,34
29.52,908.64,2025-11-12_19-46-56,35
29.51,908.57,2025-11-12_19-46-56,36
29.5,908.56,2025-11-12_19-46-56,37
29.51,908.66,2025-11-12_19-46-56,38
29.51,908.58,2025-11-12_19-46-56,39
29.52,908.62,2025-11-12_19-46-56,40
29.53,908.7,2025-11-12_19-46-56,41
29.51,908.66,2025-11-12_19-46-56,42
29.5,908.62,2025-11-12_19-46-56,43
29.51,908.65,2025-11-12_19-46-56,44
29.51,908.66,2025-11-12_19-46-56,45
29.52,908.69,2025-11-12_19-46-56,46
29.52,908.67,2025-11-12_19-46-56,47
29.52,908.66,2025-11-12_19-46-56,48
29.54,908.72,2025-11-12_19-46-56,49
29.53,908.67,2025-11-12_19-46-56,50
29.55,908.75,2025-11-12_19-46-56,51
29.54,908.7,2025-11-12_19-46-56,52
29.55,908.68,2025-11-12_19-46-56,53
29.55,908.66,2025-11-12_19-46-56,54
29.57,908.69,2025-11-12_19-46-56,55
30.6,912.4,2025-11-12_19-46-56,56
30.6,912.4,2025-11-12_19-46-56,57
29.44,909.39,2025-11-12_19-47-58,0
29.41,909.27,2025-11-12_19-47-58,1
29.42,909.25,2025-11-12_19-47-58,2
