ax,ay,az,gx,gy,gz,reading_index
-101,632,1907,-18,206,-24,0
-100,632,1919,-27,206,-27,1
-91,637,1923,-23,207,-25,2
-90,630,1920,-19,209,-22,3
-88,636,1916,-29,204,-22,4
-82,639,1914,-20,204,-21,5
-135,629,1974,19,180,-29,6
-177,23,2000,-413,310,13,7
-228,-194,1962,-146,276,4,8
-216,-310,1964,-9,190,-28,9
-120,170,1944,29,194,-22,10
-120,174,2006,-16,205,-28,11
-123,192,2010,-18,207,-25,12
-117,204,2007,-19,205,-20,13
-133,196,2005,-17,205,-25,14
-124,197,2004,-18,207,-23,15
153,502,1951,787,123,-70,16
113,600,2154,580,41,-66,17
121,1730,1075,559,240,-155,18
46,1627,1204,-1048,-132,240,19
150,609,2386,719,-1056,-163,20
431,1012,1665,2241,-199,-1022,21
22,1787,168,77,426,-249,22
817,421,1822,-3320,511,1226,23
1085,607,2342,2255,-1374,-990,24
-153,1956,471,-3010,790,572,25
198,573,1975,-199,377,-10,26
480,1643,338,-436,742,-210,27
199,696,1224,135,48,-43,28
794,1364,408,250,530,-484,29
321,497,2977,1647,-1787,-278,30
613,928,1330,-3703,61,1161,31
682,804,1286,844,-1484,-117,32
-77,568,1796,-2803,3110,552,33
309,703,1843,-3,144,-24,34
356,726,1861,-11,199,-28,35
368,749,1848,-28,213,-19,36
383,751,1873,-2,187,-25,37
394,773,1842,-32,215,-18,38
385,767,1841,-25,218,-34,39
392,761,1839,-21,204,-23,40
393,761,1854,-4,200,-28,41
375,762,1875,-39,193,-16,42
1039,1223,1044,2701,971,-516,43
578,1746,345,-1253,294,-102,44
558,758,2317,427,-415,-128,45
408,662,1954,-34,206,-14,46
374,658,1945,158,-45,-60,47
378,729,1794,-65,266,-5,48
317,627,1927,-23,213,-20,49
313,628,1911,-24,205,-24,50
314,619,1917,-20,206,-20,51
310,632,1906,-22,203,-22,52
302,623,1904,-23,205,-24,53
311,627,1921,-20,206,-29,54
293,616,1907,-18,208,-26,55
309,622,1921,-20,202,-26,56
305,622,1925,-21,204,-24,57
300,618,1903,-19,207,-22,58
308,618,1925,-21,208,-23,59
