ax,ay,az,gx,gy,gz,reading_index
-199,297,1967,-19,207,-22,0
-213,299,1978,-19,213,-20,1
-203,298,1973,-21,204,-21,2
-200,300,1987,-18,204,-21,3
-212,296,1965,-21,206,-17,4
201,423,2400,-2030,1529,192,5
-14,691,2052,2159,369,304,6
422,1894,193,-1274,324,-87,7
-5,1233,1709,-1603,457,-50,8
-715,520,1918,-1024,996,-316,9
-315,1169,2166,151,290,301,10
434,2058,-273,691,56,-214,11
-864,1013,1995,-3220,911,-588,12
-42,1615,608,3005,-129,1510,13
-178,2016,738,1330,-68,245,14
389,1872,259,-2695,638,-317,15
-226,921,2426,-1486,386,-18,16
-18,755,1117,3446,1017,520,17
177,1588,595,-3433,-324,-627,18
-509,810,1599,-1242,57,-166,19
-118,1238,1173,878,450,412,20
-201,1132,1841,-1620,1020,-506,21
-87,1451,1035,1314,355,430,22
-225,1514,641,1782,515,306,23
312,446,581,-3440,509,-745,24
-580,839,1968,658,-1102,405,25
707,1568,1503,-754,-1417,894,26
125,935,887,37,698,-1527,27
-829,960,1885,-247,-1960,1175,28
58,2222,278,2612,-252,260,29
588,1245,427,-3763,693,-621,30
-997,1600,3392,-690,287,267,31
-1224,1619,1923,-516,122,-818,32
21,1282,1128,2567,-1731,1506,33
-109,1163,1673,-32,206,-21,34
-83,1167,1646,-12,206,-19,35
-91,1175,1662,-16,203,-19,36
-103,1168,1676,-17,204,-20,37
-101,1156,1668,-24,203,-22,38
-85,1155,1665,-19,208,-16,39
-91,1154,1652,-22,207,-20,40
-101,1166,1687,-19,204,-18,41
-107,1172,1664,-28,210,-23,42
90,889,2469,1691,-495,-239,43
12,1848,-86,-646,-30,38,44
805,1610,800,-1492,1843,-840,45
-786,2050,1484,4447,-432,1026,46
-286,1982,465,-1321,-601,364,47
-199,2094,382,-439,-6,138,48
-553,1947,937,-484,-673,702,49
199,1646,849,-237,-591,983,50
544,1707,654,-471,501,583,51
714,1428,930,-1096,1824,91,52
455,1260,1839,232,3466,-1935,53
-636,1471,1647,1591,-1102,367,54
312,1420,991,242,-601,605,55
396,1431,1236,-544,361,-459,56
-92,1382,1493,181,659,-1092,57
-869,1879,1043,348,68,-471,58
-450,1556,1602,94,-4,15,59
